id,menu_id,child_of,sort,menu_item_text,menu_item_desc,url,target,css_class,control_type
1,1,,1,Gender,,/IWPData/index.php/home,_self,menu_item,title
2,1,1,1,Male,,#,_self,,checkbox
3,1,1,2,Female,,#,_self,,checkbox
4,1,,2,Languages,,#,_self,,title
5,1,4,1,Single,,#,_self,,checkbox
6,1,4,2,Multiple,,#,_self,,checkbox
7,1,4,3,Choose,,#,_self,,title
8,1,7,1,Afrikaans,,,_self,,dropdown
9,1,7,2,Albanian,,#,_self,,dropdown
10,1,7,3,Arabic,,#,_self,,dropdown
11,1,7,4,Armenian,,,,,dropdown
12,1,7,5,Basque,,,,,dropdown
13,1,7,6,Belarusian,,,,,dropdown
14,1,7,7,Bengali,,,,,dropdown
15,1,7,8,Bulgarian,,,,,dropdown
16,1,7,9,Burmese,,,,,dropdown
17,1,7,10,Catalan,,,,,dropdown
18,1,7,11,Chinese,,,,,dropdown
19,1,7,12,Croatian,,,,,dropdown
20,1,7,13,Czech,,,,,dropdown
21,1,7,14,Danish,,,,,dropdown
22,1,7,15,Dutch,,,,,dropdown
23,1,7,16,English,,,,,dropdown
24,1,7,17,Estonian,,,,,dropdown
25,1,7,18,Filipino,,,,,dropdown
26,1,7,19,Finnish,,,,,dropdown
27,1,7,20,Flemish,,,,,dropdown
28,1,7,21,French,,,,,dropdown
29,1,7,22,Georgian,,,,,dropdown
30,1,7,23,German,,,,,dropdown
31,1,7,24,Greek,,,,,dropdown
32,1,7,25,Hebrew,,,,,dropdown
33,1,7,26,Hindi,,,,,dropdown
34,1,7,27,Hungarian,,,,,dropdown
35,1,7,28,Icelandic,,,,,dropdown
36,1,7,29,Indonesian,,,,,dropdown
37,1,7,30,Italian,,,,,dropdown
38,1,7,31,Japanese,,,,,dropdown
39,1,7,32,Kannada,,,,,dropdown
40,1,7,33,Khmer,,,,,dropdown
41,1,7,34,Korean,,,,,dropdown
42,1,7,35,Lao,,,,,dropdown
43,1,7,36,Latvian,,,,,dropdown
44,1,7,37,Lithuanian,,,,,dropdown
45,1,7,38,Macedonian,,,,,dropdown
46,1,7,39,Malay,,,,,dropdown
47,1,7,40,Maltese,,,,,dropdown
48,1,7,41,Mongolian,,,,,dropdown
49,1,7,42,Nepali,,,,,dropdown
50,1,7,43,Norwegian,,,,,dropdown
51,1,7,44,Persian,,,,,dropdown
52,1,7,45,Polish,,,,,dropdown
53,1,7,46,Portuguese,,,,,dropdown
54,1,7,47,Romanian,,,,,dropdown
55,1,7,48,Russian,,,,,dropdown
56,1,7,49,Serbian,,,,,dropdown
57,1,7,50,Sinhalese,,,,,dropdown
58,1,7,51,Slovak,,,,,dropdown
59,1,7,52,Slovenian,,,,,dropdown
60,1,7,53,Spanish,,,,,dropdown
61,1,7,54,Swedish,,,,,dropdown
62,1,7,55,Tamil,,,,,dropdown
63,1,7,56,Thai,,,,,dropdown
64,1,7,57,Turkish,,,,,dropdown
65,1,7,58,Ukrainian,,,,,dropdown
66,1,7,59,Urdu,,,,,dropdown
67,1,7,60,Vietnamese,,,,,dropdown
68,1,7,61,Welsh,,,,,dropdown
69,1,7,62,Yiddish,,,,,dropdown
70,1,,3,Region,,,,,title
71,1,70,1,Australia and New Zealand,,,,,dropdown
72,1,70,2,Central Asia,,,,,dropdown
73,1,70,3,Eastern Africa,,,,,dropdown
74,1,70,4,Eastern Asia,,,,,dropdown
75,1,70,5,Eastern Europe,,,,,dropdown
76,1,70,6,Latin America and the Caribbean,,,,,dropdown
77,1,70,7,Melanesia,,,,,dropdown
78,1,70,8,Middle Africa,,,,,dropdown
79,1,70,9,Northern Africa,,,,,dropdown
80,1,70,10,Northern America,,,,,dropdown
81,1,70,11,Northern Europe,,,,,dropdown
82,1,70,12,South-Eastern Asia,,,,,dropdown
83,1,70,13,Southern Africa,,,,,dropdown
84,1,70,14,Southern Asia,,,,,dropdown
85,1,70,15,Southern Europe,,,,,dropdown
86,1,70,16,Western Africa,,,,,dropdown
87,1,70,17,Western Asia,,,,,dropdown
88,1,70,18,Western Europe,,,,,dropdown
89,1,,4,Continent,,,,,title
90,1,89,1,Africa,,,,,dropdown
91,1,89,2,Americas,,,,,dropdown
92,1,89,3,Asia,,,,,dropdown
93,1,89,4,Europe,,,,,dropdown
94,1,89,5,Oceania,,,,,dropdown
